,Concentration,Sensor,Alcohol,Readings
0,0.2,0.5,1-Octanol,-10.06
1,0.2,0.5,1-Octanol,-10.62
2,0.3,0.5,1-Octanol,-14.43
3,0.3,0.5,1-Octanol,-18.31
4,0.4,0.5,1-Octanol,-24.64
5,0.4,0.5,1-Octanol,-30.56
6,0.5,0.5,1-Octanol,-38.62
7,0.5,0.5,1-Octanol,-45.59
8,0.6,0.5,1-Octanol,-54.89
9,0.6,0.5,1-Octanol,-62.28
10,0.2,0.5,1-Octanol,-9.69
11,0.2,0.5,1-Octanol,-10.86
12,0.3,0.5,1-Octanol,-16.73
13,0.3,0.5,1-Octanol,-21.75
14,0.4,0.5,1-Octanol,-28.47
15,0.4,0.5,1-Octanol,-35.83
16,0.5,0.5,1-Octanol,-43.65
17,0.5,0.5,1-Octanol,-52.43
18,0.6,0.5,1-Octanol,-61.92
19,0.6,0.5,1-Octanol,-71.27
20,0.2,0.5,1-Octanol,-12.07
21,0.2,0.5,1-Octanol,-14.28
22,0.3,0.5,1-Octanol,-21.54
23,0.3,0.5,1-Octanol,-27.92
24,0.4,0.5,1-Octanol,-35.19
25,0.4,0.5,1-Octanol,-43.94
26,0.5,0.5,1-Octanol,-52.04
27,0.5,0.5,1-Octanol,-62.49
28,0.6,0.5,1-Octanol,-71.97
29,0.6,0.5,1-Octanol,-83.1
30,0.2,0.5,1-Octanol,-14.21
31,0.2,0.5,1-Octanol,-17.41
32,0.3,0.5,1-Octanol,-25.91
33,0.3,0.5,1-Octanol,-33.36
34,0.4,0.5,1-Octanol,-41.29
35,0.4,0.5,1-Octanol,-51.27
36,0.5,0.5,1-Octanol,-59.94
37,0.5,0.5,1-Octanol,-71.55
38,0.6,0.5,1-Octanol,-81.51
39,0.6,0.5,1-Octanol,-93.83
40,0.2,0.5,1-Octanol,-16.57
41,0.2,0.5,1-Octanol,-20.35
42,0.3,0.5,1-Octanol,-29.97
43,0.3,0.5,1-Octanol,-37.84
44,0.4,0.5,1-Octanol,-47.03
45,0.4,0.5,1-Octanol,-57.29
46,0.5,0.5,1-Octanol,-67.13
47,0.5,0.5,1-Octanol,-78.96
48,0.6,0.5,1-Octanol,-90.01
49,0.6,0.5,1-Octanol,-102.65
50,0.2,0.5,1-Propanol,-75.61
51,0.2,0.5,1-Propanol,-64.1
52,0.3,0.5,1-Propanol,-122.08
53,0.3,0.5,1-Propanol,-102.17
54,0.4,0.5,1-Propanol,-174.79
55,0.4,0.5,1-Propanol,-145.5
56,0.5,0.5,1-Propanol,-214.69
57,0.5,0.5,1-Propanol,-177.3
58,0.6,0.5,1-Propanol,-250.83
59,0.6,0.5,1-Propanol,-207.99
60,0.2,0.5,1-Propanol,-76.28
61,0.2,0.5,1-Propanol,-64.53
62,0.3,0.5,1-Propanol,-123.4
63,0.3,0.5,1-Propanol,-103.06
64,0.4,0.5,1-Propanol,-174.74
65,0.4,0.5,1-Propanol,-144.98
66,0.5,0.5,1-Propanol,-206.75
67,0.5,0.5,1-Propanol,-170.68
68,0.6,0.5,1-Propanol,-240.14
69,0.6,0.5,1-Propanol,-200.05
70,0.2,0.5,1-Propanol,-76.96
71,0.2,0.5,1-Propanol,-65.37
72,0.3,0.5,1-Propanol,-124.5
73,0.3,0.5,1-Propanol,-103.87
74,0.4,0.5,1-Propanol,-169.93
75,0.4,0.5,1-Propanol,-140.56
76,0.5,0.5,1-Propanol,-200.89
77,0.5,0.5,1-Propanol,-165.88
78,0.6,0.5,1-Propanol,-232.82
79,0.6,0.5,1-Propanol,-194.7
80,0.2,0.5,1-Propanol,-78.29
81,0.2,0.5,1-Propanol,-66.49
82,0.3,0.5,1-Propanol,-125.78
83,0.3,0.5,1-Propanol,-104.77
84,0.4,0.5,1-Propanol,-165.42
85,0.4,0.5,1-Propanol,-136.17
86,0.5,0.5,1-Propanol,-196.1
87,0.5,0.5,1-Propanol,-161.99
88,0.6,0.5,1-Propanol,-226.89
89,0.6,0.5,1-Propanol,-189.57
90,0.2,0.5,1-Propanol,-79.62
91,0.2,0.5,1-Propanol,-66.85
92,0.3,0.5,1-Propanol,-126.61
93,0.3,0.5,1-Propanol,-104.38
94,0.4,0.5,1-Propanol,-162.73
95,0.4,0.5,1-Propanol,-133.26
96,0.5,0.5,1-Propanol,-194.87
97,0.5,0.5,1-Propanol,-160.68
98,0.6,0.5,1-Propanol,-221.33
99,0.6,0.5,1-Propanol,-183.81
100,0.2,0.5,2-Butanol,-88.03
101,0.2,0.5,2-Butanol,-76.88
102,0.3,0.5,2-Butanol,-128.47
103,0.3,0.5,2-Butanol,-124.36
104,0.4,0.5,2-Butanol,-177.13
105,0.4,0.5,2-Butanol,-175.21
106,0.5,0.5,2-Butanol,-220.91
107,0.5,0.5,2-Butanol,-218.92
108,0.6,0.5,2-Butanol,-274.27
109,0.6,0.5,2-Butanol,-268.55
110,0.2,0.5,2-Butanol,-91.08
111,0.2,0.5,2-Butanol,-79.42
112,0.3,0.5,2-Butanol,-131.32
113,0.3,0.5,2-Butanol,-125.91
114,0.4,0.5,2-Butanol,-182.66
115,0.4,0.5,2-Butanol,-178.76
116,0.5,0.5,2-Butanol,-224.73
117,0.5,0.5,2-Butanol,-221.49
118,0.6,0.5,2-Butanol,-272.67
119,0.6,0.5,2-Butanol,-266.15
120,0.2,0.5,2-Butanol,-92.08
121,0.2,0.5,2-Butanol,-80.56
122,0.3,0.5,2-Butanol,-132.5
123,0.3,0.5,2-Butanol,-126.99
124,0.4,0.5,2-Butanol,-183.33
125,0.4,0.5,2-Butanol,-179.25
126,0.5,0.5,2-Butanol,-222.6
127,0.5,0.5,2-Butanol,-219.52
128,0.6,0.5,2-Butanol,-264.81
129,0.6,0.5,2-Butanol,-259.99
130,0.2,0.5,2-Butanol,-92.58
131,0.2,0.5,2-Butanol,-81.3
132,0.3,0.5,2-Butanol,-133.54
133,0.3,0.5,2-Butanol,-127.76
134,0.4,0.5,2-Butanol,-182.34
135,0.4,0.5,2-Butanol,-177.94
136,0.5,0.5,2-Butanol,-217.73
137,0.5,0.5,2-Butanol,-215.09
138,0.6,0.5,2-Butanol,-255.14
139,0.6,0.5,2-Butanol,-251.88
140,0.2,0.5,2-Butanol,-93.29
141,0.2,0.5,2-Butanol,-81.88
142,0.3,0.5,2-Butanol,-133.96
143,0.3,0.5,2-Butanol,-127.68
144,0.4,0.5,2-Butanol,-178.29
145,0.4,0.5,2-Butanol,-173.59
146,0.5,0.5,2-Butanol,-211.85
147,0.5,0.5,2-Butanol,-209.7
148,0.6,0.5,2-Butanol,-248.13
149,0.6,0.5,2-Butanol,-245.84
150,0.2,0.5,2-propanol,-68.84
151,0.2,0.5,2-propanol,-78.0
152,0.3,0.5,2-propanol,-97.04
153,0.3,0.5,2-propanol,-107.38
154,0.4,0.5,2-propanol,-128.66
155,0.4,0.5,2-propanol,-138.16
156,0.5,0.5,2-propanol,-152.78
157,0.5,0.5,2-propanol,-159.83
158,0.6,0.5,2-propanol,-185.98
159,0.6,0.5,2-propanol,-191.71
160,0.2,0.5,2-propanol,-67.95
161,0.2,0.5,2-propanol,-76.82
162,0.3,0.5,2-propanol,-95.08
163,0.3,0.5,2-propanol,-105.21
164,0.4,0.5,2-propanol,-123.29
165,0.4,0.5,2-propanol,-132.91
166,0.5,0.5,2-propanol,-146.27
167,0.5,0.5,2-propanol,-153.75
168,0.6,0.5,2-propanol,-176.94
169,0.6,0.5,2-propanol,-184.07
170,0.2,0.5,2-propanol,-67.29
171,0.2,0.5,2-propanol,-75.99
172,0.3,0.5,2-propanol,-94.75
173,0.3,0.5,2-propanol,-104.77
174,0.4,0.5,2-propanol,-118.7
175,0.4,0.5,2-propanol,-128.29
176,0.5,0.5,2-propanol,-142.31
177,0.5,0.5,2-propanol,-150.07
178,0.6,0.5,2-propanol,-172.51
179,0.6,0.5,2-propanol,-180.33
180,0.2,0.5,2-propanol,-66.38
181,0.2,0.5,2-propanol,-74.97
182,0.3,0.5,2-propanol,-93.75
183,0.3,0.5,2-propanol,-103.66
184,0.4,0.5,2-propanol,-114.96
185,0.4,0.5,2-propanol,-124.23
186,0.5,0.5,2-propanol,-139.18
187,0.5,0.5,2-propanol,-147.22
188,0.6,0.5,2-propanol,-170.52
189,0.6,0.5,2-propanol,-178.7
190,0.2,0.5,2-propanol,-66.12
191,0.2,0.5,2-propanol,-74.25
192,0.3,0.5,2-propanol,-93.09
193,0.3,0.5,2-propanol,-102.5
194,0.4,0.5,2-propanol,-111.78
195,0.4,0.5,2-propanol,-120.95
196,0.5,0.5,2-propanol,-136.83
197,0.5,0.5,2-propanol,-145.02
198,0.6,0.5,2-propanol,-168.05
199,0.6,0.5,2-propanol,-175.16
200,0.2,0.5,1-isobutanol,-65.56
201,0.2,0.5,1-isobutanol,-71.66
202,0.3,0.5,1-isobutanol,-100.34
203,0.3,0.5,1-isobutanol,-109.75
204,0.4,0.5,1-isobutanol,-148.72
205,0.4,0.5,1-isobutanol,-157.43
206,0.5,0.5,1-isobutanol,-208.83
207,0.5,0.5,1-isobutanol,-212.29
208,0.6,0.5,1-isobutanol,-268.57
209,0.6,0.5,1-isobutanol,-268.95
210,0.2,0.5,1-isobutanol,-65.95
211,0.2,0.5,1-isobutanol,-72.17
212,0.3,0.5,1-isobutanol,-101.82
213,0.3,0.5,1-isobutanol,-111.37
214,0.4,0.5,1-isobutanol,-151.04
215,0.4,0.5,1-isobutanol,-159.59
216,0.5,0.5,1-isobutanol,-211.86
217,0.5,0.5,1-isobutanol,-214.85
218,0.6,0.5,1-isobutanol,-269.62
219,0.6,0.5,1-isobutanol,-270.97
220,0.2,0.5,1-isobutanol,-66.42
221,0.2,0.5,1-isobutanol,-72.72
222,0.3,0.5,1-isobutanol,-103.32
223,0.3,0.5,1-isobutanol,-112.74
224,0.4,0.5,1-isobutanol,-152.73
225,0.4,0.5,1-isobutanol,-161.12
226,0.5,0.5,1-isobutanol,-215.4
227,0.5,0.5,1-isobutanol,-217.42
228,0.6,0.5,1-isobutanol,-269.84
229,0.6,0.5,1-isobutanol,-271.73
230,0.2,0.5,1-isobutanol,-66.51
231,0.2,0.5,1-isobutanol,-73.04
232,0.3,0.5,1-isobutanol,-104.47
233,0.3,0.5,1-isobutanol,-113.72
234,0.4,0.5,1-isobutanol,-154.3
235,0.4,0.5,1-isobutanol,-162.43
236,0.5,0.5,1-isobutanol,-216.46
237,0.5,0.5,1-isobutanol,-217.99
238,0.6,0.5,1-isobutanol,-267.13
239,0.6,0.5,1-isobutanol,-269.45
240,0.2,0.5,1-isobutanol,-66.68
241,0.2,0.5,1-isobutanol,-73.19
242,0.3,0.5,1-isobutanol,-105.21
243,0.3,0.5,1-isobutanol,-113.27
244,0.4,0.5,1-isobutanol,-154.42
245,0.4,0.5,1-isobutanol,-161.48
246,0.5,0.5,1-isobutanol,-215.52
247,0.5,0.5,1-isobutanol,-216.68
248,0.6,0.5,1-isobutanol,-262.01
249,0.6,0.5,1-isobutanol,-263.28
250,0.2,1.0,1-Octanol,-11.82
251,0.2,1.0,1-Octanol,-13.29
252,0.3,1.0,1-Octanol,-19.32
253,0.3,1.0,1-Octanol,-26.28
254,0.4,1.0,1-Octanol,-38.14
255,0.4,1.0,1-Octanol,-50.09
256,0.5,1.0,1-Octanol,-59.78
257,0.5,1.0,1-Octanol,-75.04
258,0.6,1.0,1-Octanol,-85.63
259,0.6,1.0,1-Octanol,-104.66
260,0.2,1.0,1-Octanol,-11.54
261,0.2,1.0,1-Octanol,-14.18
262,0.3,1.0,1-Octanol,-25.35
263,0.3,1.0,1-Octanol,-32.75
264,0.4,1.0,1-Octanol,-48.77
265,0.4,1.0,1-Octanol,-60.08
266,0.5,1.0,1-Octanol,-75.41
267,0.5,1.0,1-Octanol,-89.72
268,0.6,1.0,1-Octanol,-104.25
269,0.6,1.0,1-Octanol,-121.9
270,0.2,1.0,1-Octanol,-12.45
271,0.2,1.0,1-Octanol,-15.81
272,0.3,1.0,1-Octanol,-33.33
273,0.3,1.0,1-Octanol,-40.64
274,0.4,1.0,1-Octanol,-61.5
275,0.4,1.0,1-Octanol,-72.12
276,0.5,1.0,1-Octanol,-91.75
277,0.5,1.0,1-Octanol,-104.67
278,0.6,1.0,1-Octanol,-124.21
279,0.6,1.0,1-Octanol,-139.76
280,0.2,1.0,1-Octanol,-14.67
281,0.2,1.0,1-Octanol,-18.49
282,0.3,1.0,1-Octanol,-40.56
283,0.3,1.0,1-Octanol,-47.67
284,0.4,1.0,1-Octanol,-72.11
285,0.4,1.0,1-Octanol,-82.19
286,0.5,1.0,1-Octanol,-106.26
287,0.5,1.0,1-Octanol,-118.26
288,0.6,1.0,1-Octanol,-141.95
289,0.6,1.0,1-Octanol,-155.84
290,0.2,1.0,1-Octanol,-18.07
291,0.2,1.0,1-Octanol,-19.74
292,0.3,1.0,1-Octanol,-47.08
293,0.3,1.0,1-Octanol,-53.5
294,0.4,1.0,1-Octanol,-81.15
295,0.4,1.0,1-Octanol,-89.81
296,0.5,1.0,1-Octanol,-117.91
297,0.5,1.0,1-Octanol,-128.1
298,0.6,1.0,1-Octanol,-156.66
299,0.6,1.0,1-Octanol,-168.72
300,0.2,1.0,1-Propanol,-98.63
301,0.2,1.0,1-Propanol,-97.92
302,0.3,1.0,1-Propanol,-137.15
303,0.3,1.0,1-Propanol,-131.93
304,0.4,1.0,1-Propanol,-191.17
305,0.4,1.0,1-Propanol,-180.52
306,0.5,1.0,1-Propanol,-260.06
307,0.5,1.0,1-Propanol,-240.69
308,0.6,1.0,1-Propanol,-352.22
309,0.6,1.0,1-Propanol,-321.2
310,0.2,1.0,1-Propanol,-96.62
311,0.2,1.0,1-Propanol,-96.5
312,0.3,1.0,1-Propanol,-136.86
313,0.3,1.0,1-Propanol,-131.75
314,0.4,1.0,1-Propanol,-192.76
315,0.4,1.0,1-Propanol,-182.3
316,0.5,1.0,1-Propanol,-264.07
317,0.5,1.0,1-Propanol,-245.29
318,0.6,1.0,1-Propanol,-357.64
319,0.6,1.0,1-Propanol,-327.04
320,0.2,1.0,1-Propanol,-95.58
321,0.2,1.0,1-Propanol,-95.61
322,0.3,1.0,1-Propanol,-137.43
323,0.3,1.0,1-Propanol,-132.2
324,0.4,1.0,1-Propanol,-193.5
325,0.4,1.0,1-Propanol,-183.3
326,0.5,1.0,1-Propanol,-266.77
327,0.5,1.0,1-Propanol,-248.06
328,0.6,1.0,1-Propanol,-359.32
329,0.6,1.0,1-Propanol,-329.25
330,0.2,1.0,1-Propanol,-94.48
331,0.2,1.0,1-Propanol,-94.49
332,0.3,1.0,1-Propanol,-136.49
333,0.3,1.0,1-Propanol,-132.39
334,0.4,1.0,1-Propanol,-193.9
335,0.4,1.0,1-Propanol,-184.2
336,0.5,1.0,1-Propanol,-267.82
337,0.5,1.0,1-Propanol,-249.31
338,0.6,1.0,1-Propanol,-361.72
339,0.6,1.0,1-Propanol,-331.38
340,0.2,1.0,1-Propanol,-94.04
341,0.2,1.0,1-Propanol,-93.29
342,0.3,1.0,1-Propanol,-136.13
343,0.3,1.0,1-Propanol,-130.11
344,0.4,1.0,1-Propanol,-194.96
345,0.4,1.0,1-Propanol,-183.4
346,0.5,1.0,1-Propanol,-267.72
347,0.5,1.0,1-Propanol,-249.56
348,0.6,1.0,1-Propanol,-360.72
349,0.6,1.0,1-Propanol,-330.82
350,0.2,1.0,2-Butanol,-90.31
351,0.2,1.0,2-Butanol,-97.75
352,0.3,1.0,2-Butanol,-159.99
353,0.3,1.0,2-Butanol,-153.6
354,0.4,1.0,2-Butanol,-248.81
355,0.4,1.0,2-Butanol,-219.47
356,0.5,1.0,2-Butanol,-337.16
357,0.5,1.0,2-Butanol,-287.02
358,0.6,1.0,2-Butanol,-427.01
359,0.6,1.0,2-Butanol,-360.56
360,0.2,1.0,2-Butanol,-93.79
361,0.2,1.0,2-Butanol,-99.97
362,0.3,1.0,2-Butanol,-164.98
363,0.3,1.0,2-Butanol,-156.41
364,0.4,1.0,2-Butanol,-255.59
365,0.4,1.0,2-Butanol,-223.56
366,0.5,1.0,2-Butanol,-341.09
367,0.5,1.0,2-Butanol,-289.88
368,0.6,1.0,2-Butanol,-426.05
369,0.6,1.0,2-Butanol,-360.56
370,0.2,1.0,2-Butanol,-95.86
371,0.2,1.0,2-Butanol,-101.04
372,0.3,1.0,2-Butanol,-168.38
373,0.3,1.0,2-Butanol,-157.85
374,0.4,1.0,2-Butanol,-259.27
375,0.4,1.0,2-Butanol,-224.68
376,0.5,1.0,2-Butanol,-336.37
377,0.5,1.0,2-Butanol,-285.85
378,0.6,1.0,2-Butanol,-413.52
379,0.6,1.0,2-Butanol,-351.05
380,0.2,1.0,2-Butanol,-97.7
381,0.2,1.0,2-Butanol,-102.02
382,0.3,1.0,2-Butanol,-172.03
383,0.3,1.0,2-Butanol,-158.71
384,0.4,1.0,2-Butanol,-261.38
385,0.4,1.0,2-Butanol,-224.8
386,0.5,1.0,2-Butanol,-328.87
387,0.5,1.0,2-Butanol,-278.99
388,0.6,1.0,2-Butanol,-395.35
389,0.6,1.0,2-Butanol,-334.79
390,0.2,1.0,2-Butanol,-98.99
391,0.2,1.0,2-Butanol,-101.34
392,0.3,1.0,2-Butanol,-174.99
393,0.3,1.0,2-Butanol,-157.25
394,0.4,1.0,2-Butanol,-258.76
395,0.4,1.0,2-Butanol,-222.1
396,0.5,1.0,2-Butanol,-318.91
397,0.5,1.0,2-Butanol,-269.47
398,0.6,1.0,2-Butanol,-383.93
399,0.6,1.0,2-Butanol,-325.01
400,0.2,1.0,2-propanol,-68.13
401,0.2,1.0,2-propanol,-53.77
402,0.3,1.0,2-propanol,-108.27
403,0.3,1.0,2-propanol,-91.8
404,0.4,1.0,2-propanol,-153.07
405,0.4,1.0,2-propanol,-135.1
406,0.5,1.0,2-propanol,-181.96
407,0.5,1.0,2-propanol,-165.24
408,0.6,1.0,2-propanol,-216.15
409,0.6,1.0,2-propanol,-202.26
410,0.2,1.0,2-propanol,-69.54
411,0.2,1.0,2-propanol,-55.73
412,0.3,1.0,2-propanol,-109.49
413,0.3,1.0,2-propanol,-93.98
414,0.4,1.0,2-propanol,-151.26
415,0.4,1.0,2-propanol,-134.78
416,0.5,1.0,2-propanol,-174.59
417,0.5,1.0,2-propanol,-161.28
418,0.6,1.0,2-propanol,-205.61
419,0.6,1.0,2-propanol,-195.44
420,0.2,1.0,2-propanol,-70.31
421,0.2,1.0,2-propanol,-57.01
422,0.3,1.0,2-propanol,-110.39
423,0.3,1.0,2-propanol,-95.45
424,0.4,1.0,2-propanol,-144.23
425,0.4,1.0,2-propanol,-129.9
426,0.5,1.0,2-propanol,-168.8
