,Concentration,Alcohol,QCM3,QCM6,QCM7,QCM10,QCM12
0,0.2,1-Octanol,-10.06,-11.82,-11.23,-11.98,-9.4
1,0.2,1-Octanol,-10.62,-13.29,-14.21,-10.99,-7.95
2,0.3,1-Octanol,-14.43,-19.32,-18.71,-19.12,-21.44
3,0.3,1-Octanol,-18.31,-26.28,-22.65,-17.28,-17.46
4,0.4,1-Octanol,-24.64,-38.14,-27.32,-33.13,-34.39
5,0.4,1-Octanol,-30.56,-50.09,-32.39,-28.45,-27.35
6,0.5,1-Octanol,-38.62,-59.78,-35.28,-48.83,-48.61
7,0.5,1-Octanol,-45.59,-75.04,-40.72,-40.77,-39.91
8,0.6,1-Octanol,-54.89,-85.63,-40.63,-62.49,-63.62
9,0.6,1-Octanol,-62.28,-104.66,-49.87,-50.82,-53.14
10,0.2,1-Octanol,-9.69,-11.54,-12.44,-12.15,-13.18
11,0.2,1-Octanol,-10.86,-14.18,-15.44,-11.33,-12.01
12,0.3,1-Octanol,-16.73,-25.35,-21.13,-22.33,-26.46
13,0.3,1-Octanol,-21.75,-32.75,-25.53,-19.95,-22.75
14,0.4,1-Octanol,-28.47,-48.77,-30.45,-39.82,-41.48
15,0.4,1-Octanol,-35.83,-60.08,-36.22,-33.64,-34.6
16,0.5,1-Octanol,-43.65,-75.41,-36.85,-56.9,-56.74
17,0.5,1-Octanol,-52.43,-89.72,-45.11,-46.77,-48.68
18,0.6,1-Octanol,-61.92,-104.25,-45.4,-73.32,-73.45
19,0.6,1-Octanol,-71.27,-121.9,-55.16,-58.96,-63.17
20,0.2,1-Octanol,-12.07,-12.45,-13.75,-12.58,-18.61
21,0.2,1-Octanol,-14.28,-15.81,-16.72,-11.74,-16.29
22,0.3,1-Octanol,-21.54,-33.33,-24.0,-26.67,-32.84
23,0.3,1-Octanol,-27.92,-40.64,-28.29,-23.34,-28.72
24,0.4,1-Octanol,-35.19,-61.5,-33.91,-46.48,-49.32
25,0.4,1-Octanol,-43.94,-72.12,-39.95,-38.69,-42.29
26,0.5,1-Octanol,-52.04,-91.75,-40.96,-65.95,-65.87
27,0.5,1-Octanol,-62.49,-104.67,-49.43,-53.46,-57.89
28,0.6,1-Octanol,-71.97,-124.21,-49.91,-84.53,-84.45
29,0.6,1-Octanol,-83.1,-139.76,-60.11,-67.21,-73.99
30,0.2,1-Octanol,-14.21,-14.67,-15.05,-13.79,-21.88
31,0.2,1-Octanol,-17.41,-18.49,-17.98,-12.82,-19.81
32,0.3,1-Octanol,-25.91,-40.56,-26.42,-30.56,-38.18
33,0.3,1-Octanol,-33.36,-47.67,-30.65,-26.18,-33.77
34,0.4,1-Octanol,-41.29,-72.11,-36.56,-52.3,-56.27
35,0.4,1-Octanol,-51.27,-82.19,-43.0,-42.98,-48.93
36,0.5,1-Octanol,-59.94,-106.26,-43.81,-73.81,-74.09
37,0.5,1-Octanol,-71.55,-118.26,-52.73,-59.19,-65.99
38,0.6,1-Octanol,-81.51,-141.95,-53.89,-94.41,-92.61
39,0.6,1-Octanol,-93.83,-155.84,-64.35,-74.4,-83.37
40,0.2,1-Octanol,-16.57,-18.07,-16.67,-15.73,-24.84
41,0.2,1-Octanol,-20.35,-19.74,-19.11,-13.87,-22.36
42,0.3,1-Octanol,-29.97,-47.08,-28.69,-34.54,-42.61
43,0.3,1-Octanol,-37.84,-53.5,-32.58,-28.65,-37.94
44,0.4,1-Octanol,-47.03,-81.15,-39.62,-57.44,-60.47
45,0.4,1-Octanol,-57.29,-89.81,-45.68,-46.26,-53.86
46,0.5,1-Octanol,-67.13,-117.91,-47.16,-80.37,-80.67
47,0.5,1-Octanol,-78.96,-128.1,-55.65,-63.49,-72.62
48,0.6,1-Octanol,-90.01,-156.66,-57.2,-102.94,-101.14
49,0.6,1-Octanol,-102.65,-168.72,-67.68,-80.25,-91.33
50,0.2,1-Propanol,-75.61,-98.63,-35.68,-58.41,-48.45
51,0.2,1-Propanol,-64.1,-97.92,-55.46,-38.66,-56.17
52,0.3,1-Propanol,-122.08,-137.15,-44.41,-83.58,-94.77
53,0.3,1-Propanol,-102.17,-131.93,-62.35,-57.33,-87.56
54,0.4,1-Propanol,-174.79,-191.17,-56.36,-110.24,-144.2
55,0.4,1-Propanol,-145.5,-180.52,-72.43,-76.8,-125.19
56,0.5,1-Propanol,-214.69,-260.06,-66.26,-133.77,-203.85
57,0.5,1-Propanol,-177.3,-240.69,-80.33,-96.13,-167.42
58,0.6,1-Propanol,-250.83,-352.22,-79.56,-171.05,-263.8
59,0.6,1-Propanol,-207.99,-321.2,-91.76,-124.15,-218.03
60,0.2,1-Propanol,-76.28,-96.62,-34.99,-59.68,-52.71
61,0.2,1-Propanol,-64.53,-96.5,-54.77,-40.01,-59.26
62,0.3,1-Propanol,-123.4,-136.86,-45.11,-84.75,-98.57
63,0.3,1-Propanol,-103.06,-131.75,-62.89,-58.75,-89.2
64,0.4,1-Propanol,-174.74,-192.76,-56.03,-109.91,-149.15
65,0.4,1-Propanol,-144.98,-182.3,-72.68,-77.28,-126.75
66,0.5,1-Propanol,-206.75,-264.07,-65.75,-130.65,-206.98
67,0.5,1-Propanol,-170.68,-245.29,-80.24,-94.69,-169.59
68,0.6,1-Propanol,-240.14,-357.64,-76.75,-161.81,-269.29
69,0.6,1-Propanol,-200.05,-327.04,-89.86,-118.7,-220.77
70,0.2,1-Propanol,-76.96,-95.58,-35.99,-60.12,-57.09
71,0.2,1-Propanol,-65.37,-95.61,-54.37,-40.73,-60.88
72,0.3,1-Propanol,-124.5,-137.43,-45.34,-85.19,-100.87
73,0.3,1-Propanol,-103.87,-132.2,-62.7,-59.47,-90.63
74,0.4,1-Propanol,-169.93,-193.5,-54.89,-108.08,-153.09
75,0.4,1-Propanol,-140.56,-183.3,-71.23,-76.43,-127.88
76,0.5,1-Propanol,-200.89,-266.77,-64.63,-127.51,-210.05
77,0.5,1-Propanol,-165.88,-248.06,-79.05,-92.88,-170.99
78,0.6,1-Propanol,-232.82,-359.32,-74.92,-155.54,-274.14
79,0.6,1-Propanol,-194.7,-329.25,-88.07,-114.76,-222.0
80,0.2,1-Propanol,-78.29,-94.48,-35.85,-60.41,-60.23
81,0.2,1-Propanol,-66.49,-94.49,-53.94,-41.2,-61.76
82,0.3,1-Propanol,-125.78,-136.49,-45.24,-84.73,-106.92
83,0.3,1-Propanol,-104.77,-132.39,-62.31,-59.31,-91.52
84,0.4,1-Propanol,-165.42,-193.9,-53.55,-106.46,-157.94
85,0.4,1-Propanol,-136.17,-184.2,-69.54,-75.39,-128.49
86,0.5,1-Propanol,-196.1,-267.82,-63.43,-124.62,-210.78
87,0.5,1-Propanol,-161.99,-249.31,-77.51,-90.88,-171.39
88,0.6,1-Propanol,-226.89,-361.72,-73.38,-151.56,-274.14
89,0.6,1-Propanol,-189.57,-331.38,-86.43,-112.58,-221.0
90,0.2,1-Propanol,-79.62,-94.04,-35.88,-60.87,-62.88
91,0.2,1-Propanol,-66.85,-93.29,-53.42,-39.88,-62.89
92,0.3,1-Propanol,-126.61,-136.13,-45.3,-84.22,-108.56
93,0.3,1-Propanol,-104.38,-130.11,-62.02,-57.58,-93.26
94,0.4,1-Propanol,-162.73,-194.96,-53.81,-105.32,-157.61
95,0.4,1-Propanol,-133.26,-183.4,-68.74,-73.36,-129.42
96,0.5,1-Propanol,-194.87,-267.72,-62.3,-122.59,-214.45
97,0.5,1-Propanol,-160.68,-249.56,-76.12,-88.28,-171.58
98,0.6,1-Propanol,-221.33,-360.72,-72.33,-146.99,-277.29
99,0.6,1-Propanol,-183.81,-330.82,-84.57,-109.52,-219.58
100,0.2,2-Butanol,-88.03,-90.31,-31.86,-59.41,-62.12
101,0.2,2-Butanol,-76.88,-97.75,-47.42,-61.86,-65.95
102,0.3,2-Butanol,-128.47,-159.99,-45.81,-91.65,-111.79
103,0.3,2-Butanol,-124.36,-153.6,-61.16,-81.02,-109.16
104,0.4,2-Butanol,-177.13,-248.81,-61.55,-131.05,-171.12
105,0.4,2-Butanol,-175.21,-219.47,-76.42,-105.51,-155.86
106,0.5,2-Butanol,-220.91,-337.16,-76.12,-165.68,-223.76
107,0.5,2-Butanol,-218.92,-287.02,-89.12,-126.3,-209.93
108,0.6,2-Butanol,-274.27,-427.01,-94.11,-207.16,-288.01
109,0.6,2-Butanol,-268.55,-360.56,-104.97,-153.44,-269.96
110,0.2,2-Butanol,-91.08,-93.79,-32.66,-61.16,-74.65
111,0.2,2-Butanol,-79.42,-99.97,-47.88,-62.92,-68.38
112,0.3,2-Butanol,-131.32,-164.98,-46.52,-93.55,-116.27
113,0.3,2-Butanol,-125.91,-156.41,-62.03,-82.39,-109.51
114,0.4,2-Butanol,-182.66,-255.59,-62.06,-133.11,-173.44
115,0.4,2-Butanol,-178.76,-223.56,-77.14,-107.27,-157.52
116,0.5,2-Butanol,-224.73,-341.09,-77.12,-168.62,-228.82
117,0.5,2-Butanol,-221.49,-289.88,-90.14,-128.94,-212.0
118,0.6,2-Butanol,-272.67,-426.05,-93.95,-210.85,-292.81
119,0.6,2-Butanol,-266.15,-360.56,-105.24,-157.01,-272.04
120,0.2,2-Butanol,-92.08,-95.86,-33.08,-61.8,-80.61
121,0.2,2-Butanol,-80.56,-101.04,-48.11,-62.99,-69.71
122,0.3,2-Butanol,-132.5,-168.38,-47.17,-94.15,-119.26
123,0.3,2-Butanol,-126.99,-157.85,-62.03,-82.45,-110.41
124,0.4,2-Butanol,-183.33,-259.27,-61.91,-133.24,-175.38
125,0.4,2-Butanol,-179.25,-224.68,-76.65,-107.15,-158.87
126,0.5,2-Butanol,-222.6,-336.37,-76.94,-165.33,-231.08
127,0.5,2-Butanol,-219.52,-285.85,-89.64,-126.55,-213.05
128,0.6,2-Butanol,-264.81,-413.52,-93.07,-204.6,-296.68
129,0.6,2-Butanol,-259.99,-351.05,-103.93,-152.81,-271.47
130,0.2,2-Butanol,-92.58,-97.7,-33.24,-61.94,-81.01
131,0.2,2-Butanol,-81.3,-102.02,-47.89,-62.78,-70.72
132,0.3,2-Butanol,-133.54,-172.03,-47.07,-94.46,-126.52
133,0.3,2-Butanol,-127.76,-158.71,-62.04,-82.39,-110.98
134,0.4,2-Butanol,-182.34,-261.38,-60.93,-131.54,-183.94
135,0.4,2-Butanol,-177.94,-224.8,-75.29,-105.6,-159.84
136,0.5,2-Butanol,-217.73,-328.87,-75.37,-160.74,-230.44
137,0.5,2-Butanol,-215.09,-278.99,-87.8,-123.08,-213.17
138,0.6,2-Butanol,-255.14,-395.35,-91.04,-195.49,-294.04
139,0.6,2-Butanol,-251.88,-334.79,-101.96,-146.26,-269.0
140,0.2,2-Butanol,-93.29,-98.99,-33.97,-62.34,-86.34
141,0.2,2-Butanol,-81.88,-101.34,-47.36,-61.87,-71.04
142,0.3,2-Butanol,-133.96,-174.99,-47.83,-95.09,-129.71
143,0.3,2-Butanol,-127.68,-157.25,-61.44,-81.53,-112.33
144,0.4,2-Butanol,-178.29,-258.76,-60.91,-128.23,-182.08
145,0.4,2-Butanol,-173.59,-222.1,-72.88,-102.05,-160.74
146,0.5,2-Butanol,-211.85,-318.91,-75.2,-156.31,-229.94
147,0.5,2-Butanol,-209.7,-269.47,-85.82,-119.71,-211.24
148,0.6,2-Butanol,-248.13,-383.93,-89.76,-187.95,-294.2
149,0.6,2-Butanol,-245.84,-325.01,-99.85,-140.79,-266.83
150,0.2,2-propanol,-68.84,-68.13,-26.8,-44.1,-60.65
151,0.2,2-propanol,-78.0,-53.77,-35.6,-35.02,-56.38
152,0.3,2-propanol,-97.04,-108.27,-36.76,-66.13,-105.31
153,0.3,2-propanol,-107.38,-91.8,-45.27,-50.43,-86.28
154,0.4,2-propanol,-128.66,-153.07,-44.8,-90.29,-148.3
155,0.4,2-propanol,-138.16,-135.1,-53.48,-68.0,-117.76
156,0.5,2-propanol,-152.78,-181.96,-51.52,-101.74,-180.36
157,0.5,2-propanol,-159.83,-165.24,-59.54,-76.53,-137.76
158,0.6,2-propanol,-185.98,-216.15,-60.38,-117.67,-219.73
159,0.6,2-propanol,-191.71,-202.26,-67.51,-88.63,-164.51
160,0.2,2-propanol,-67.95,-69.54,-25.81,-44.67,-62.54
161,0.2,2-propanol,-76.82,-55.73,-34.7,-35.39,-56.68
162,0.3,2-propanol,-95.08,-109.49,-36.48,-66.62,-104.33
163,0.3,2-propanol,-105.21,-93.98,-45.64,-50.84,-85.74
164,0.4,2-propanol,-123.29,-151.26,-43.29,-84.41,-147.54
165,0.4,2-propanol,-132.91,-134.78,-51.95,-63.94,-114.04
166,0.5,2-propanol,-146.27,-174.59,-50.28,-97.11,-182.08
167,0.5,2-propanol,-153.75,-161.28,-58.17,-73.35,-133.1
168,0.6,2-propanol,-176.94,-205.61,-57.74,-111.06,-217.25
169,0.6,2-propanol,-184.07,-195.44,-65.2,-83.98,-159.49
170,0.2,2-propanol,-67.29,-70.31,-25.49,-44.5,-66.37
171,0.2,2-propanol,-75.99,-57.01,-34.16,-35.27,-57.25
172,0.3,2-propanol,-94.75,-110.39,-36.67,-66.6,-104.69
173,0.3,2-propanol,-104.77,-95.45,-45.47,-50.98,-85.93
174,0.4,2-propanol,-118.7,-144.23,-42.21,-80.79,-150.89
175,0.4,2-propanol,-128.29,-129.9,-50.9,-61.24,-109.68
176,0.5,2-propanol,-142.31,-168.8,-48.84,-93.34,-178.98
177,0.5,2-propanol,-150.07,-157.56,-56.82,-70.67,-129.79
178,0.6,2-propanol,-172.51,-198.45,-56.0,-106.18,-211.37
179,0.6,2-propanol,-180.33,-190.72,-63.28,-80.45,-155.89
180,0.2,2-propanol,-66.38,-70.4,-25.41,-44.34,-69.99
181,0.2,2-propanol,-74.97,-57.63,-34.22,-34.97,-57.49
182,0.3,2-propanol,-93.75,-110.03,-36.3,-66.58,-109.66
183,0.3,2-propanol,-103.66,-95.97,-45.23,-50.93,-86.03
184,0.4,2-propanol,-114.96,-137.89,-40.97,-78.07,-149.9
185,0.4,2-propanol,-124.23,-125.45,-49.57,-59.27,-106.5
186,0.5,2-propanol,-139.18,-163.89,-48.07,-89.95,-186.32
187,0.5,2-propanol,-147.22,-154.37,-55.73,-68.18,-127.54
188,0.6,2-propanol,-170.52,-192.03,-54.33,-101.46,-213.69
189,0.6,2-propanol,-178.7,-186.27,-61.54,-77.06,-153.26
190,0.2,2-propanol,-66.12,-71.48,-26.78,-44.8,-69.99
191,0.2,2-propanol,-74.25,-57.84,-33.71,-35.17,-58.49
192,0.3,2-propanol,-93.09,-110.46,-36.78,-66.2,-110.79
193,0.3,2-propanol,-102.5,-95.21,-44.76,-50.42,-86.69
194,0.4,2-propanol,-111.78,-134.85,-41.49,-76.8,-153.44
195,0.4,2-propanol,-120.95,-122.39,-48.17,-58.26,-104.72
196,0.5,2-propanol,-136.83,-160.98,-48.57,-87.09,-183.04
197,0.5,2-propanol,-145.02,-152.93,-54.13,-65.55,-126.16
198,0.6,2-propanol,-168.05,-187.98,-54.94,-98.14,-210.51
199,0.6,2-propanol,-175.16,-183.8,-60.11,-73.89,-150.14
200,0.2,1-isobutanol,-65.56,-66.05,-27.45,-52.22,-54.35
201,0.2,1-isobutanol,-71.66,-55.55,-40.42,-41.67,-56.09
202,0.3,1-isobutanol,-100.34,-136.84,-42.1,-75.74,-88.23
203,0.3,1-isobutanol,-109.75,-112.44,-56.14,-57.7,-90.54
204,0.4,1-isobutanol,-148.72,-211.41,-58.24,-109.1,-128.65
205,0.4,1-isobutanol,-157.43,-176.55,-72.12,-83.42,-132.19
206,0.5,1-isobutanol,-208.83,-300.14,-76.97,-149.62,-173.71
207,0.5,1-isobutanol,-212.29,-252.75,-90.61,-114.96,-179.36
208,0.6,1-isobutanol,-268.57,-417.08,-99.22,-197.35,-231.3
209,0.6,1-isobutanol,-268.95,-353.5,-112.17,-151.92,-239.19
210,0.2,1-isobutanol,-65.95,-73.04,-28.79,-54.15,-56.14
211,0.2,1-isobutanol,-72.17,-60.95,-41.95,-42.91,-57.35
212,0.3,1-isobutanol,-101.82,-141.43,-43.33,-77.43,-90.74
213,0.3,1-isobutanol,-111.37,-116.96,-56.89,-59.33,-92.6
214,0.4,1-isobutanol,-151.04,-217.81,-59.68,-112.04,-132.16
215,0.4,1-isobutanol,-159.59,-183.1,-73.88,-86.16,-135.36
216,0.5,1-isobutanol,-211.86,-309.05,-78.96,-155.04,-178.79
217,0.5,1-isobutanol,-214.85,-261.66,-93.1,-119.56,-183.93
218,0.6,1-isobutanol,-269.62,-429.28,-101.14,-205.77,-239.06
219,0.6,1-isobutanol,-270.97,-365.93,-114.64,-159.3,-246.53
220,0.2,1-isobutanol,-66.42,-76.09,-29.59,-54.72,-57.71
221,0.2,1-isobutanol,-72.72,-63.93,-42.61,-43.04,-58.37
222,0.3,1-isobutanol,-103.32,-143.7,-43.82,-78.19,-92.83
223,0.3,1-isobutanol,-112.74,-119.61,-57.46,-60.05,-93.91
224,0.4,1-isobutanol,-152.73,-221.81,-60.44,-113.36,-134.83
225,0.4,1-isobutanol,-161.12,-187.0,-74.61,-87.5,-137.56
226,0.5,1-isobutanol,-215.4,-313.96,-80.18,-157.68,-182.33
227,0.5,1-isobutanol,-217.42,-266.76,-94.38,-121.95,-187.16
228,0.6,1-isobutanol,-269.84,-436.02,-101.48,-207.96,-243.12
229,0.6,1-isobutanol,-271.73,-372.47,-115.36,-161.6,-250.3
230,0.2,1-isobutanol,-66.51,-78.81,-29.98,-54.54,-58.36
231,0.2,1-isobutanol,-73.04,-65.68,-42.7,-42.61,-58.92
232,0.3,1-isobutanol,-104.47,-146.01,-44.41,-78.67,-94.31
233,0.3,1-isobutanol,-113.72,-121.49,-57.8,-60.59,-95.13
234,0.4,1-isobutanol,-154.3,-223.79,-60.99,-114.31,-136.44
235,0.4,1-isobutanol,-162.43,-189.51,-75.15,-88.44,-138.96
236,0.5,1-isobutanol,-216.46,-319.61,-80.38,-158.35,-184.7
237,0.5,1-isobutanol,-217.99,-271.93,-94.5,-122.77,-189.32
238,0.6,1-isobutanol,-267.13,-439.91,-100.91,-207.15,-246.15
239,0.6,1-isobutanol,-269.45,-376.66,-114.82,-161.37,-252.8
240,0.2,1-isobutanol,-66.68,-82.17,-30.95,-54.47,-59.0
241,0.2,1-isobutanol,-73.19,-67.91,-42.82,-41.87,-59.26
242,0.3,1-isobutanol,-105.21,-149.03,-45.26,-79.15,-94.97
243,0.3,1-isobutanol,-113.27,-123.4,-57.19,-60.58,-95.51
244,0.4,1-isobutanol,-154.42,-225.73,-62.17,-115.72,-137.28
245,0.4,1-isobutanol,-161.48,-191.28,-75.36,-89.26,-139.36
246,0.5,1-isobutanol,-215.52,-322.75,-80.85,-159.23,-186.98
247,0.5,1-isobutanol,-216.68,-274.53,-93.97,-122.95,-191.19
248,0.6,1-isobutanol,-262.01,-447.74,-100.5,-200.98,-248.98
249,0.6,1-isobutanol,-263.28,-381.94,-113.82,-157.18,-255.23
